Tumor_Sample_ID,Tumor_Sample_Index
TCGA-AX-A0IS,236
TCGA-AA-3561,237
TCGA-E2-A1IU,238
TCGA-A6-2683,239
TCGA-AR-A24Q,240
TCGA-69-7764,241
TCGA-32-2494,242
TCGA-BH-A0H3,243
TCGA-AN-A04A,244
TCGA-D8-A1JH,245
TCGA-A2-A0EN,246
TCGA-BG-A0W1,247
TCGA-AX-A05S,248
TCGA-06-0213,249
TCGA-19-5952,250
TCGA-25-1626,251
TCGA-53-7813,252
TCGA-AG-3582,253
TCGA-27-2519,254
TCGA-E9-A3Q9,255
TCGA-C8-A12X,256
TCGA-A2-A25A,257
TCGA-E2-A15C,258
TCGA-B5-A11J,259
TCGA-20-0991,260
TCGA-06-0192,261
TCGA-44-2662,262
TCGA-04-1347,263
TCGA-D1-A15W,264
TCGA-C8-A12Y,265
TCGA-55-7726,266
TCGA-BH-A202,267
TCGA-B6-A402,268
TCGA-06-5411,269
TCGA-49-4505,270
TCGA-AG-3581,271
TCGA-AN-A0AL,272
TCGA-AF-2692,273
TCGA-55-7283,274
TCGA-A8-A07P,275
TCGA-E2-A15D,276
TCGA-E2-A1IE,277
TCGA-BS-A0U5,278
TCGA-15-1444,279
TCGA-15-0742,280
TCGA-06-0125,281
TCGA-06-6391,282
TCGA-05-4398,283
TCGA-C8-A12O,284
TCGA-AG-3587,285
TCGA-AN-A0XU,286
TCGA-AC-A3OD,287
TCGA-13-1408,288
TCGA-25-1631,289
TCGA-AG-3893,290
TCGA-13-1504,291
TCGA-C8-A1HL,292
TCGA-78-7633,293
TCGA-A2-A0YF,294
TCGA-BH-A0B0,295
TCGA-23-1123,296
TCGA-AG-A032,297
TCGA-BG-A0YU,298
TCGA-AR-A0U3,299
TCGA-BH-A1F8,300
TCGA-AR-A1AO,301
TCGA-26-6173,302
TCGA-B6-A0X7,303
TCGA-06-0129,304
TCGA-06-5415,305
TCGA-PE-A5DC,306
TCGA-25-1634,307
TCGA-16-1048,308
TCGA-14-1043,309
TCGA-32-4213,310
TCGA-A2-A0ER,311
TCGA-AG-A01Y,312
TCGA-75-5146,313
TCGA-24-1563,314
TCGA-A8-A09W,315
TCGA-D1-A163,316
TCGA-A5-A0GN,317
TCGA-61-1736,318
TCGA-D8-A1XJ,319
TCGA-23-1023,320
TCGA-BH-A0C7,321
TCGA-78-7537,322
TCGA-AA-A01S,323
TCGA-AA-3514,324
TCGA-E2-A153,325
TCGA-13-0717,326
TCGA-BG-A0VZ,327
TCGA-25-1320,328
TCGA-AO-A03M,329
TCGA-BH-A0WA,330
TCGA-06-0743,331
TCGA-BH-A0BR,332
TCGA-E2-A1IF,333
TCGA-31-1959,334
TCGA-C8-A3M7,335
TCGA-24-1558,336
TCGA-D8-A1JG,337
TCGA-05-4433,338
TCGA-AA-A01F,339
TCGA-BS-A0V6,340
TCGA-B5-A11V,341
TCGA-24-0975,342
TCGA-25-2392,343
TCGA-13-1407,344
TCGA-GM-A2DM,345
TCGA-06-0154,346
TCGA-A2-A4S3,347
TCGA-10-0933,348
TCGA-78-7154,349
TCGA-AA-A00E,350
TCGA-49-6745,351
TCGA-78-7540,352
TCGA-AN-A0FN,353
TCGA-AA-3548,354
TCGA-AX-A05T,355
TCGA-50-5049,356
TCGA-06-6700,357
TCGA-BH-A1F6,358
TCGA-D8-A1Y2,359
TCGA-25-1322,360
TCGA-AR-A24N,361
TCGA-AR-A2LM,362
TCGA-06-0882,363
TCGA-A1-A0SG,364
TCGA-BH-A1FH,365
TCGA-57-1583,366
TCGA-AG-3887,367
TCGA-57-1584,368
TCGA-04-1517,369
TCGA-78-7163,370
TCGA-AA-3538,371
TCGA-B6-A0IH,372
TCGA-44-7672,373
TCGA-27-1833,374
TCGA-24-2289,375
TCGA-29-2427,376
TCGA-BS-A0UV,377
TCGA-A7-A3IZ,378
TCGA-D8-A1XY,379
TCGA-B6-A0RT,380
TCGA-D1-A16S,381
TCGA-05-4395,382
TCGA-A8-A07I,383
TCGA-04-1331,384
TCGA-28-2499,385
TCGA-AG-3896,386
TCGA-AR-A2LQ,387
TCGA-AA-3519,388
TCGA-78-7162,389
TCGA-B6-A0I8,390
TCGA-AA-3553,391
TCGA-E9-A22D,392
TCGA-EW-A1J5,393
TCGA-67-6216,394
TCGA-A2-A0YJ,395
TCGA-06-0171,396
TCGA-75-7025,397
TCGA-B6-A0IC,398
TCGA-13-0883,399
TCGA-A8-A08P,400
TCGA-04-1514,401
TCGA-76-4932,402
TCGA-D8-A1JI,403
TCGA-AN-A0XV,404
TCGA-B6-A0I9,405
