Gene_Name,Index
AGBL5,396
AGER,397
AGFG1,398
AGFG2,399
AGGF1,400
AGK,401
AGL,402
AGMAT,403
AGMO,404
AGPAT1,405
AGPAT2,406
AGPAT3,407
AGPAT4,408
AGPAT5,409
AGPAT6,410
AGPAT9,411
AGPHD1,412
AGPS,413
AGR2,414
AGRN,415
AGRP,416
AGT,417
AGTPBP1,418
AGTR1,419
AGTR2,420
AGTRAP,421
AGXT,422
AGXT2,423
AGXT2L1,424
AGXT2L2,425
AHCTF1,426
AHCY,427
AHCYL1,428
AHCYL2,429
AHDC1,430
AHI1,431
AHNAK,432
AHNAK2,433
AHR,434
AHRR,435
AHSA1,436
AHSA2,437
AHSG,438
AHSP,439
AICDA,440
AIDA,441
AIF1,442
AIF1L,443
AIFM1,444
AIFM2,445
AIFM3,446
AIG1,447
AIM1,448
AIM1L,449
AIM2,450
AIMP1,451
AIMP2,452
AIP,453
AIPL1,454
AIRE,455
AJAP1,456
AJUBA,457
AK1,458
AK2,459
AK3,460
AK3L1,461
AK4,462
AK5,463
AK7,464
AK8,465
AKAP1,466
AKAP10,467
AKAP11,468
AKAP12,469
AKAP13,470
AKAP14,471
AKAP17A,472
AKAP3,473
AKAP4,474
AKAP5,475
AKAP6,476
AKAP7,477
AKAP8,478
AKAP8L,479
AKAP9,480
AKD1,481
AKIRIN1,482
AKIRIN2,483
AKNA,484
AKNAD1,485
AKR1A1,486
AKR1B1,487
AKR1B10,488
AKR1B10L,489
AKR1B15,490
AKR1C1,491
AKR1C2,492
AKR1C3,493
AKR1C4,494
AKR1CL1,495
AKR1CL2,496
AKR1D1,497
AKR1E2,498
AKR7A2,499
AKR7A3,500
AKR7L,501
AKT1,502
AKT1S1,503
AKT2,504
AKT3,505
AKTIP,506
ALAD,507
ALAS1,508
ALAS2,509
ALB,510
ALCAM,511
ALDH16A1,512
ALDH18A1,513
ALDH1A1,514
ALDH1A2,515
ALDH1A3,516
ALDH1B1,517
ALDH1L1,518
ALDH1L2,519
ALDH2,520
ALDH3A1,521
ALDH3A2,522
ALDH3B1,523
ALDH3B2,524
ALDH4A1,525
ALDH5A1,526
ALDH6A1,527
ALDH7A1,528
ALDH8A1,529
ALDH9A1,530
ALDOA,531
ALDOB,532
ALDOC,533
ALG1,534
ALG10,535
ALG10B,536
ALG11,537
ALG12,538
